(house, casa)
(world, mundo)
(car, coche)
(tree, árbol)
(book, libro)
(table, mesa)
(chair, silla)
(computer, computadora)
(dog, perro)
(cat, gato)
(phone, teléfono)
(door, puerta)
(window, ventana)
(pen, pluma)
(paper, papel)
(pencil, lápiz)
(lamp, lámpara)
(clock, reloj)
(bed, cama)
(pillow, almohada)
(blanket, manta)
(cup, taza)
(plate, plato)
(spoon, cuchara)
(fork, tenedor)
(knife, cuchillo)
(refrigerator, refrigerador)
(stove, estufa)
(microwave, microondas)
(oven, horno)
(sink, fregadero)
(mirror, espejo)
(bathroom, baño)
(toilet, inodoro)
(shower, ducha)
(towel, toalla)
(soap, jabón)
(shampoo, champú)
(conditioner, acondicionador)
(comb, peine)
(razor, navaja)
(lotion, loción)
(socks, calcetines)
(shoes, zapatos)
(pants, pantalones)
(shirt, camisa)
(sweater, suéter)
(jacket, chaqueta)
(coat, abrigo)
(hat, sombrero)
(gloves, guantes)
(scarf, bufanda)
(dress, vestido)
(skirt, falda)
(blouse, blusa)
(tie, corbata)
(belt, cinturón)
(wallet, billetera)
(purse, bolso)
(backpack, mochila)
(suitcase, maleta)
(passport, pasaporte)
(ticket, boleto)
(money, dinero)
(bank, banco)
(receipt, recibo)
(calendar, calendario)
(glasses, gafas)
(umbrella, paraguas)
(raincoat, impermeable)
(flashlight, linterna)
(battery, batería)
(charger, cargador)
(television, televisión)
(radio, radio)
(stereo, estéreo)
(headphones, auriculares)
(speaker, altavoz)
(camera, cámara)
(photograph, fotografía)
(picture, cuadro)
(painting, pintura)
(sculpture, escultura)
(museum, museo)
(gallery, galería)
(exhibition, exposición)
(artist, artista)
(musician, músico)
(singer, cantante)
(dancer, bailarín)
(homework, tarea)
(woman, mujer)
(town, pueblo)
(yes, si)
(hello, hola)
